zip,type,decommissioned,primary_city,acceptable_cities,unacceptable_cities,state,county,timezone,area_codes,world_region,country,latitude,longitude,irs_estimated_population_2015
11757,STANDARD,0,Lindenhurst,,"Heer Park, N Lindenhurst, North Lindenhurst",NY,Suffolk County,America/New_York,"516,631",NA,US,40.68,-73.37,42700
11758,STANDARD,0,Massapequa,"N Massapequa, North Massapequa","E Massapequa, East Massapequa",NY,Nassau County,America/New_York,"631,516",NA,US,40.66,-73.47,53360
11760,PO BOX,0,Islandia,,Central Islip,NY,Suffolk County,America/New_York,631,NA,US,40.82,-73.21,0
11762,STANDARD,0,Massapequa Park,Massapequa Pk,Bar Harbor,NY,Nassau County,America/New_York,"516,631",NA,US,40.68,-73.45,22720
11763,STANDARD,0,Medford,,Gordon Heights,NY,Suffolk County,America/New_York,631,NA,US,40.82,-72.98,27060
11764,STANDARD,0,Miller Place,,,NY,Suffolk County,America/New_York,631,NA,US,40.93,-72.98,12640
11765,STANDARD,0,Mill Neck,,,NY,Nassau County,America/New_York,516,NA,US,40.88,-73.55,570
11766,STANDARD,0,Mount Sinai,,Mt Sinai,NY,Suffolk County,America/New_York,"516,631",NA,US,40.93,-73.01,12300
11767,STANDARD,0,Nesconset,,,NY,Suffolk County,America/New_York,631,NA,US,40.84,-73.15,14220
11768,STANDARD,0,Northport,Fort Salonga,"Asharoken, Crab Meadow, Eatons Neck, Sunken Meadow",NY,Suffolk County,America/New_York,631,NA,US,40.9,-73.34,21220
11769,STANDARD,0,Oakdale,,,NY,Suffolk County,America/New_York,631,NA,US,40.73,-73.13,8750
11770,PO BOX,0,Ocean Beach,,"Corneil Estates, Fire Island, Ocean Bay Park, Seaview",NY,Suffolk County,America/New_York,631,NA,US,40.65,-73.16,355
11771,STANDARD,0,Oyster Bay,,"Centre Island, Cove Neck, Laurel Hollow, Muttontown, Oyster Bay Cove, Upper Brookville",NY,Nassau County,America/New_York,516,NA,US,40.86,-73.53,9460
